Genero;Edad;Nivel de Instrucción;¿Con qué frecuencia compras productos de comerciantes tricicleros?;¿Con qué frecuencia compras productos en tiendas?;¿Considera que los productos ofrecidos por los triciclos comerciales son:;¿Cuánto es su  gasto semanal comprando a comerciantes tricicleros?; ¿En que parroquia vive?;¿Qué tipo de productos suelen comprar más a los comerciantes tricicleros? ;¿Qué tipo de productos/servicios te gustaría ver más en la oferta de los comerciantes tricicleros?
Femenino;26;Educación Superior;Una vez por semana;Una vez por semana;Bueno;De 5 a 10 dólares;12 de Marzo;Productos frescos;Productos frescos
Masculino;35;Educación Superior;Todos los días;Una vez por semana;Regular;De 5 a 10 dólares;Portoviejo;Productos frescos;Productos frescos
Femenino;20;Secundaria;Varias veces por semana;Una vez por semana;Bueno;De 10 a 15 dólares;Portoviejo;Bebidas;Productos frescos
Femenino;24;Educación Superior;Ocasionalmente;Varias veces por semana;Regular;De 5 a 10 dólares;Vivo fuera de Portoviejo;Productos frescos;Productos frescos
Femenino;20;Educación Superior;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Productos frescos;Productos frescos
Femenino;31;Educación Superior;Todos los días;Todos los días;Regular;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos frescos
Femenino;21;Educación Superior;Una vez por semana;Varias veces por semana;Bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos frescos
Femenino;24;Secundaria;Ocasionalmente;Varias veces por semana;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Bebidas;Productos frescos
Masculino;21;Secundaria;Una vez por semana;Todos los días;Regular;De 15 a 20 dólares;Portoviejo;Productos frescos;Productos frescos
Masculino;20;Secundaria;Varias veces por semana;Una vez por semana;Muy bueno;De 15 a 20 dólares;Vivo fuera de Portoviejo;Bebidas;Productos frescos
Femenino;22;Educación Superior;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Productos frescos;Productos frescos
Masculino;56;Secundaria;Ocasionalmente;Varias veces por semana;Bueno;De 5 a 10 dólares;San Plácido;Productos frescos;Productos frescos
Femenino;26;Secundaria;Ocasionalmente;Todos los días;Muy bueno;De 5 a 10 dólares;Portoviejo;Bebidas;Productos frescos
Masculino;21;Educación Superior;Varias veces por semana;Una vez por semana;Muy bueno;De 10 a 15 dólares;Francisco Pacheco;Productos frescos;Bebidas
Masculino;21;Educación Superior;Ocasionalmente;Todos los días;Bueno;De 15 a 20 dólares;Andrés de Vera;Productos frescos;Bebidas
Femenino;22;Secundaria;Ocasionalmente;Una vez por semana;Bueno;De 15 a 20 dólares;Andrés de Vera;Productos frescos;Bebidas
Femenino;20;Secundaria;Una vez por semana;Una vez por semana;Muy bueno;De 5 a 10 dólares;Portoviejo;Productos de aseo;Bebidas
Femenino;32;Educación Superior;Todos los días;Varias veces por semana;Excelente;De 10 a 15 dólares;Vivo fuera de Portoviejo;Productos frescos;Bebidas
Femenino;32;Educación Superior;Todos los días;Ocasionalmente;Excelente;De 10 a 15 dólares;Vivo fuera de Portoviejo;Productos frescos;Bebidas
Masculino;20;Educación Superior;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;San Pablo;Bebidas;Bebidas
Femenino;23;Secundaria;Una vez por semana;Todos los días;Bueno;De 5 a 10 dólares;12 de Marzo;Productos frescos;Productos frescos
Femenino;26;Secundaria;Varias veces por semana;Todos los días;Bueno;Más de 30 dólares;Picoazá;Productos frescos;Productos frescos
Femenino;21;Educación Superior;Varias veces por semana;Una vez por semana;Bueno;De 5 a 10 dólares;Picoazá;Productos frescos;Productos frescos
Femenino;19;Secundaria;Ocasionalmente;Varias veces por semana;Excelente;De 5 a 10 dólares;San Pablo;Productos de aseo;Productos frescos
Femenino;21;Educación Superior;Ocasionalmente;Varias veces por semana;Bueno;De 5 a 10 dólares;Andrés de Vera;Productos de aseo;Productos frescos
Masculino;21;Educación Superior;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;Colón;Productos frescos;Productos de aseo
Femenino;21;Educación Superior;Ocasionalmente;Todos los días;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Productos frescos;Productos de aseo
